country,elec_generation,elec_use,energy_produce,energy_use,oil_consume,oil_produce
Algeria,1220,866,0.00436,1150,0.421,2.19
Argentina,3020,2730,0.00202,1870,0.601,0.841
Australia,11500,10800,0.0142,5860,1.93,1.03
Austria,8250,7940,0.00136,3800,1.45,0
Azerbaijan,2110,1620,0.00712,1330,0.371,5.7
Bangladesh,255,226,0.00017,193,0.0241,0
Belarus,3220,3300,0.00042,2790,0.98,0
Belgium,8400,7900,0.00144,5200,2.95,0
Brazil,2400,2200,0.00119,1240,0.502,0.545
Bulgaria,5750,4480,0.0013,2350,0.611,0
Canada,18200,15500,0.0116,7800,2.8,4.69
Chile,3540,3300,0.00055,1750,1.08,0
China,2730,2610,0.00156,1780,0.287,0.139
Colombia,1410,1070,0.00217,686,0.235,0.789
Croatia,3100,3820,0.00092,2210,1.01,0
Cyprus,4750,4580,8.00E-05,2300,2.69,0
Czech Republic,7840,6140,0.00299,4030,0.898,0
Denmark,6580,6220,0.00433,3330,1.49,2.33
Ecuador,1240,1100,0.00192,788,0.602,1.77
Egypt,1650,1540,0.00111,911,0.424,0.435
Estonia,6570,5980,0.0031,3650,0.999,0
Finland,13600,15200,0.0031,6270,1.86,0
France,8570,7340,0.00207,3910,1.35,0
Germany,7360,6820,0.00154,3790,1.37,0
Greece,5600,5630,0.00089,2650,1.87,0
Hungary,3610,3770,0.0011,2480,0.688,0
Iceland,53300,51300,0.014,16900,2.31,0
India,722,598,0.00042,545,0.126,0.0312
Indonesia,657,594,0.00148,846,0.255,0.203
Iran,3040,2510,0.00478,2800,1.25,2.84
Iraq,1430,863,0.00389,1140,0.884,4.13
Ireland,6310,5950,0.00035,3150,1.77,0
Israel,7690,6610,0.00045,2870,1.5,0
Italy,4950,5370,0.00045,2870,1.25,0.0774
Japan,8670,8020,0.00074,3680,1.56,0
Kazakhstan,4910,4450,0.0092,3940,0.581,4.77
Kuwait,18900,16500,0.0492,11100,7.24,42.9
Latvia,2600,3030,0.00093,2060,0.713,0
Lithuania,4850,3620,0.00126,2770,0.811,0
Luxembourg,7810,14400,0.00021,7950,5.42,0
Malaysia,4190,3940,0.00321,2590,1.05,1.15
Mexico,2380,2000,0.00196,1600,0.794,1.3
Morocco,678,746,2.00E-05,510,0.345,0
Netherlands,6830,6860,0.00381,4720,2.66,0
New Zealand,10000,9400,0.00352,4070,1.62,0
North Macedonia,3300,3420,0.00078,1360,0.468,0
Norway,27300,23900,0.0442,6480,2.06,22.4
Oman,6410,5250,0.0248,5500,1.93,13.8
Pakistan,563,437,0.00038,477,0.118,0
Peru,1140,1050,0.00053,547,0.287,0.239
Philippines,670,589,0.00026,413,0.148,0
Poland,3960,3590,0.00177,2470,0.661,0
Portugal,4730,4840,0.00046,2300,1.22,0
Qatar,14600,13700,0.0876,14600,3.65,37.7
Romania,2810,2390,0.00131,1710,0.436,0.218
Russia,6930,6100,0.00826,4530,0.894,3.5
Saudi Arabia,8160,7480,0.0197,6260,4.73,17.2
Singapore,8420,8110,1.00E-05,4260,11.2,0
Slovak Republic,4830,4950,0.00109,3110,0.671,0
Slovenia,8070,6100,0.00175,3500,1.26,0
South Africa,4940,4430,0.00323,2850,0.478,0
South Korea,9170,8880,0.00092,4650,2.1,0
Spain,6360,5650,0.00065,2760,1.55,0
Sri Lanka,496,425,0.00025,450,0.208,0
Sweden,14700,14100,0.00326,4880,1.64,0
Switzerland,8850,8020,0.00168,3480,1.59,0
Thailand,2180,2100,0.0009,1610,0.681,0.224
Trinidad and Tobago,5920,5720,0.0329,14200,1.62,5.15
Turkey,2730,2310,0.00042,1370,0.457,0
Turkmenistan,3190,2350,0.00821,3970,1,2.17
Ukraine,3780,3230,0.00168,2490,0.294,0
United Arab Emirates,10800,10600,0.0243,7570,3.71,16.3
United Kingdom,6000,5640,0.00258,3150,1.19,1.09
United States,13700,12900,0.00548,7060,2.62,1.05
Uzbekistan,1780,1640,0.00224,1590,0.152,0.159
Venezuela,4450,3090,0.00714,2320,1.22,5.56
Vietnam,926,906,0.00088,609,0.163,0.191
Albania,0,1840,0.00039,732,0,0
Angola,0,189,0.00544,515,0,3.82
Armenia,0,1660,0.00027,904,0,0
Bahrain,0,17500,0.015,10300,0,0
Benin,0,87.9,0.00023,384,0,0
Bolivia,0,547,0.00145,594,0,0
Bosnia and Herzegovina,0,2890,0.00119,1660,0,0
Botswana,0,1740,0.00047,1010,0,0
Brunei,0,8840,0.0483,7930,0,21.4
Cambodia,0,128,0.00026,360,0,0
Cameroon,0,265,0.00046,349,0,0
"Congo, Dem. Rep.",0,107,0.00036,307,0,0
"Congo, Rep.",0,145,0.00388,371,0,3.4
Costa Rica,0,1850,0.00059,1010,0,0
Cote d'Ivoire,0,201,0.00061,467,0,0
Cuba,0,1330,0.00049,1020,0,0
Dominican Republic,0,1330,0.00019,748,0,0
El Salvador,0,846,0.00051,684,0,0
Eritrea,0,83.3,0.00011,231,0,0
Ethiopia,0,42.2,0.00037,487,0,0
Gabon,0,943,0.0092,2880,0,7.67
Georgia,0,1830,0.00029,812,0,0
Ghana,0,260,0.0003,281,0,0
Guatemala,0,550,0.00043,669,0,0
Haiti,0,35.9,0.00019,385,0,0
Honduras,0,624,0.00029,547,0,0
Jamaica,0,1220,0.00019,1080,0,0
Jordan,0,1810,5.00E-05,1080,0,0
Kenya,0,140,0.00039,457,0,0
Kyrgyz Republic,0,1320,0.00022,536,0,0
Lebanon,0,2730,4.00E-05,1380,0,0
Libya,0,3140,0.0139,3150,0,13.3
Malta,0,4430,0,1890,0,0
Mauritius,0,1910,0,999,0,0
Moldova,0,2170,3.00E-05,1110,0,0
Mongolia,0,1380,0.00284,1390,0,0
Montenegro,0,5010,0,1650,0,0
Mozambique,0,444,0.00052,421,0,0
Myanmar,0,99.4,0.00047,285,0,0
Namibia,0,1580,0.00015,712,0,0
Nepal,0,96.9,0.0003,369,0,0
Nicaragua,0,477,0.0003,510,0,0
Niger,0,42.6,0,130,0,0
Nigeria,0,121,0.00148,722,0,0.693
North Korea,0,728,0.00084,815,0,0
Panama,0,1640,0.00019,942,0,0
Paraguay,0,1090,0.00117,728,0,0
Senegal,0,192,0.0001,305,0,0
Serbia,0,4220,0.00096,2070,0,0
South Sudan,0,0,0,0,0,0
Sudan,0,113,0.00083,364,0,0.693
Suriname,0,3030,0,1150,0,0
Syria,0,1520,0.00118,1010,0,0.911
Tajikistan,0,1910,0.00022,290,0,0
Tanzania,0,72.4,0.00041,456,0,0
Togo,0,124,0.00037,498,0,0
Tunisia,0,1270,0.00075,870,0,0.402
Uruguay,0,2670,0.00045,1230,0,0
Yemen,0,227,0.00065,359,0,0.639
Zambia,0,568,0.00057,601,0,0
Zimbabwe,0,585,0.00068,729,0,0
Antigua and Barbuda,0,0,0,0,0,0
Bahamas,0,0,0,0,0,0
Barbados,0,0,0,0,0,0
Belize,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0
Cape Verde,0,0,0,0,0,0
Comoros,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0
Dominica,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,17.3
Eswatini,0,0,0,0,0,0
Fiji,0,0,0,0,0,0
Gambia,0,0,0,0,0,0
Grenada,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0
Guyana,0,0,0,0,0,0
Kiribati,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0
Maldives,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,0
Palau,0,0,0,0,0,0
Samoa,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0
Solomon Islands,0,0,0,0,0,0
St. Kitts and Nevis,0,0,0,0,0,0
St. Lucia,0,0,0,0,0,0
St. Vincent and the Grenadines,0,0,0,0,0,0
Timor-Leste,0,0,0,0,0,0
Tonga,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0
Chad,0,0,0,0,0,0.535
Afghanistan,0,0,0,0,0,0
Andorra,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0
Burundi,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0
Guinea,0,0,0,0,0,0
Holy See,0,0,0,0,0,0
Lao,0,0,0,0,0,0
Liberia,0,0,0,0,0,0
Liechtenstein,0,0,0,0,0,0
Madagascar,0,0,0,0,0,0
Malawi,0,0,0,0,0,0
Mali,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0
"Micronesia, Fed. Sts.",0,0,0,0,0,0
Monaco,0,0,0,0,0,0
Nauru,0,0,0,0,0,0
Palestine,0,0,0,0,0,0
Papua New Guinea,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0
San Marino,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0
Somalia,0,0,0,0,0,0
Tuvalu,0,0,0,0,0,0
Uganda,0,0,0,0,0,0
